,Day,Sum,Mean,Standard Deviation,Percentage Observed,Band Standard Deviation,SideBand Standard Deviation
0,1.0,4050.84,38.215471698113205,23.540626830438345,47.74774774774775,2.1552591862148067,12.713282834369204
1,2.0,3065.040000000001,32.60680851063831,21.517334437698306,32.63888888888889,1.7702361738228913,15.162358225956218
2,3.0,6177.84,45.09372262773723,23.38441049129215,47.56944444444444,2.2750552383828446,12.073110226115066
3,4.0,5011.53,37.680676691729325,22.335359915380973,46.18055555555556,0.7464030146760263,11.325398013099788
4,5.0,4400.42,32.838955223880596,23.263639435908672,46.52777777777778,1.026450109059807,12.587725320103509
5,6.0,3902.4600000000005,47.5909756097561,25.224972702238418,28.47222222222222,2.595467715923104,10.47833132767076
6,7.0,6868.629999999999,49.77268115942029,25.191496251534847,47.91666666666667,2.6252397154250695,13.080294769153097
7,8.0,6819.49,49.061079136690644,25.680856786919787,48.26388888888889,2.421964741657854,12.789062339609032
8,9.0,7317.47,52.6436690647482,26.22620582832131,48.26388888888889,3.1758660792633,12.913844016853227
9,10.0,7273.51,53.09131386861314,25.810034879161442,47.56944444444444,2.8413155472144673,12.9841743683328
10,11.0,3381.67,52.02569230769231,25.393048289714784,22.569444444444446,3.166872905564731,13.697755889616895
11,12.0,0.0,,,0.0,,
12,13.0,0.0,,,0.0,,
13,14.0,0.0,,,0.0,,
14,15.0,5390.74,41.46723076923077,21.532112333956697,45.13888888888889,2.178696477047766,13.213936586697494
15,16.0,1591.2500000000002,34.59239130434783,24.734890529352555,15.972222222222221,1.734614190686951,16.532362555505088
16,17.0,0.0,,,0.0,,
17,18.0,0.0,,,0.0,,
18,19.0,0.0,,,0.0,,
19,20.0,0.0,,,0.0,,
20,21.0,0.0,,,0.0,,
21,22.0,0.0,,,0.0,,
22,23.0,0.0,,,0.0,,
23,24.0,0.0,,,0.0,,
24,25.0,0.0,,,0.0,,
25,26.0,0.0,,,0.0,,
26,27.0,0.0,,,0.0,,
27,28.0,0.0,,,0.0,,
28,29.0,0.0,,,0.0,,
29,30.0,0.0,,,0.0,,
30,31.0,0.0,,,0.0,,
31,32.0,4427.13,43.8329702970297,24.905504880559103,35.06944444444444,2.1223902545534457,12.097683652115771
32,33.0,990.8899999999999,33.029666666666664,19.56099460377434,10.416666666666668,,12.899142635292607
33,34.0,1820.9099999999999,13.900076335877861,11.87054964393539,45.48611111111111,,9.574752317088613
34,35.0,1006.54,7.8026356589147285,6.441115330182572,44.79166666666667,,5.004040711015448
35,36.0,1885.36,13.761751824817518,12.00861448080619,47.56944444444444,,6.684912549603603
36,37.0,7541.670000000001,53.86907142857144,27.219730131349014,48.61111111111111,3.8196505635993114,15.013660951337611
37,38.0,5812.039999999999,54.83056603773584,30.486165183639113,36.80555555555556,4.350566669032381,15.743611239597726
38,39.0,5678.04,44.01581395348837,27.227385031532304,44.79166666666667,5.31852823735761,15.026664515713987
39,40.0,3682.379999999999,28.54558139534883,31.09320810970544,44.79166666666667,3.8091583634052295,13.61621666784365
40,41.0,6367.240000000001,45.48028571428572,27.49724349672831,48.61111111111111,3.52422982837638,13.638390657424281
41,42.0,7152.4400000000005,50.36929577464789,26.499993905072042,49.30555555555556,4.2927380466900145,14.622858459714516
42,43.0,5842.299999999999,45.642968749999994,27.2722820128152,44.44444444444444,3.82068776531137,15.335073323408471
43,44.0,7135.27,50.248380281690146,26.310513794088227,49.30555555555556,3.304032098720441,14.146338992394998
44,45.0,6907.38,48.64352112676056,25.97579426315327,49.30555555555556,3.29293705389031,13.539412482828244
45,46.0,3331.0699999999997,66.6214,12.690039245014177,17.36111111111111,1.463631154513522,12.690039245014177
46,47.0,3128.49,23.881603053435114,14.173080430188822,45.48611111111111,,9.599698346947434
47,48.0,6417.719999999999,45.51574468085106,30.076184264405008,48.95833333333333,4.521164155877827,16.412839911970764
48,49.0,7597.260000000001,53.88127659574469,27.170017994159064,48.95833333333333,3.8614293094634626,14.106546714498096
49,50.0,4620.15,34.73796992481203,22.040642900964055,46.18055555555556,4.5722165987462065,14.297952390298653
50,51.0,4776.679999999999,41.900701754385956,29.22383738384412,39.58333333333333,3.478014197381101,15.996962706647418
51,52.0,6826.6500000000015,50.56777777777779,28.585071231045596,46.875,4.384927509347813,17.824172000728954
52,53.0,7437.26,53.893188405797105,29.72239403590116,47.91666666666667,3.539559392263114,13.338194849928522
53,54.0,7821.15,55.46914893617021,27.33419733514305,48.95833333333333,4.177431370872589,14.272661278283195
54,55.0,5887.34,42.973284671532845,26.702555363364773,47.56944444444444,3.214127050104721,17.034754526280828
55,56.0,5815.35,40.95316901408451,26.85401974708941,49.30555555555556,5.4024374224794345,17.340180332395622
56,57.0,5365.08,38.322,26.154861148824434,48.61111111111111,4.674495152523583,18.063519116603086
57,58.0,6187.62,43.57478873239437,27.09439325916206,49.30555555555556,4.460298006361858,14.418348628611273
58,59.0,2778.89,40.86602941176471,30.81461361392684,23.61111111111111,4.1226950249476015,15.759455122041663
59,60.0,0.0,,,0.0,,
60,61.0,0.0,,,0.0,,
61,62.0,0.0,,,0.0,,
62,63.0,0.0,,,0.0,,
63,64.0,0.0,,,0.0,,
64,65.0,0.0,,,0.0,,
65,66.0,0.0,,,0.0,,
66,67.0,0.0,,,0.0,,
67,68.0,0.0,,,0.0,,
68,69.0,714.8699999999999,19.32081081081081,17.481909781624434,12.847222222222221,2.6799999999999997,16.90338399648261
69,70.0,3193.26,46.95970588235294,29.961430597401495,23.61111111111111,3.588620495569919,14.373971700841672
70,71.0,7192.720000000001,49.60496551724139,26.73339324990345,50.34722222222222,4.805136783822671,16.566173996066784
71,72.0,5326.539999999999,45.14016949152541,30.084875134121454,40.97222222222222,4.54039179354479,12.831561592906668
72,73.0,5697.44,59.973052631578945,24.64590005718616,32.98611111111111,5.126152800162345,12.88358047306989
73,74.0,4071.9300000000003,51.54341772151899,26.212141929298937,27.430555555555557,3.754019024012083,13.566995178589213
74,75.0,3991.4999999999995,51.83766233766233,18.73508770778647,26.73611111111111,6.1577902163798965,16.635482623670676
75,76.0,0.0,,,0.0,,
76,77.0,4870.959999999999,55.351818181818174,26.231967856096993,30.555555555555557,4.787689780833757,13.473749430118328
77,78.0,478.86,19.9525,18.102109511048706,8.333333333333332,,11.194609819015579
78,79.0,6080.550000000002,48.25833333333335,28.834047603319174,43.75,4.19900671405967,13.905018927343338
79,80.0,4326.91,49.16943181818181,26.325404743411678,30.555555555555557,3.9429852586587235,16.984549498150205
80,81.0,3760.7899999999995,50.82148648648648,27.04266707233132,25.694444444444443,3.161754396102814,14.328119829060254
81,82.0,3818.0899999999997,54.54414285714285,26.627462809923845,24.305555555555554,3.9934742333131794,14.688786876231557
82,83.0,2827.0599999999995,50.483214285714276,25.63456254378499,19.444444444444446,5.56465599125592,16.061847613369167
83,84.0,4743.72,57.1532530120482,25.486377892760895,28.819444444444443,4.467360350900865,13.9776204592349
84,85.0,6742.749999999999,67.4275,19.3415274668264,34.72222222222222,5.440027409557351,10.313670948648351
85,86.0,4768.179999999999,56.76404761904761,26.95168084338056,29.166666666666668,3.954115445214217,13.654004817379958
86,87.0,4385.03,46.158210526315784,27.330995744332682,32.98611111111111,4.494573580571755,15.088991715601434
87,88.0,4377.06,53.37878048780488,26.284650133854385,28.47222222222222,4.220055063050042,14.170261744453985
88,89.0,4064.98,52.11512820512821,26.74941440737366,27.083333333333332,4.323427575230548,13.017354440719243
89,90.0,4526.03,53.88130952380952,26.49244172444742,29.166666666666668,4.094903534768574,13.487042352520627
90,91.0,4077.55,52.27628205128205,26.839746268670293,27.083333333333332,3.4056235814121774,13.933387256408427
91,92.0,3169.1000000000004,52.81833333333334,29.285085917958686,20.833333333333336,1.6118247739877987,16.08949623459901
92,93.0,3041.6800000000003,46.79507692307693,25.479693581243925,22.569444444444446,3.136971921689061,14.323949272459744
93,94.0,6191.1100000000015,49.528880000000015,28.505916248133474,43.40277777777778,3.9850116732909866,14.989662368441566
94,95.0,6822.68,50.16676470588236,26.545797465178623,47.22222222222222,3.4845060790659383,14.771165149396005
95,96.0,7636.07,52.66255172413793,26.278130222134575,50.34722222222222,3.905618908275429,14.480201965912922
96,97.0,7608.57,51.758979591836734,26.781395962627986,51.041666666666664,3.8233946814592557,13.430390921431044
97,98.0,0.0,,,0.0,,
98,99.0,5135.700000000001,53.49687500000001,24.825333386167745,33.33333333333333,2.538437730427992,13.430635965489497
99,100.0,7309.849999999999,48.73233333333333,28.93176220964695,52.083333333333336,3.6638214171443777,17.016527272945613
100,101.0,7204.110000000001,48.02740000000001,29.62811512578326,52.083333333333336,3.996473209603608,14.838484311635966
101,102.0,7596.74,50.30953642384106,26.477114704898558,52.43055555555556,3.8253910697776634,13.794273476796713
