,Day,Sum,Mean,Standard Deviation,Percentage Observed,Band Standard Deviation,SideBand Standard Deviation
2,3.0,63.592110586024,45.09372262773723,23.38441049129215,47.56944444444444,8.117215885351825,11.310352682428443
3,4.0,51.58660146024773,37.680676691729325,22.335359915380973,46.18055555555556,7.524867237914906,10.924320540573317
6,7.0,70.70281498622204,49.77268115942029,25.191496251534847,47.91666666666667,8.465743654630645,12.461761916301954
7,8.0,70.19698830340131,49.061079136690644,25.680856786919787,48.26388888888889,8.708037494177434,11.901911726036914
8,9.0,75.32298690965014,52.6436690647482,26.22620582832131,48.26388888888889,8.32474995626245,12.188664103948755
9,10.0,74.87048098826635,53.09131386861314,25.810034879161442,47.56944444444444,8.31589938722995,12.54666632765453
14,15.0,55.49003117926379,41.46723076923077,21.532112333956697,45.13888888888889,10.133065621659243,11.000943026382929
41,42.0,73.62423685946892,50.36929577464789,26.499993905072042,49.30555555555556,10.90150779665595,10.769334896877046
43,44.0,73.44749603439705,50.248380281690146,26.310513794088227,49.30555555555556,9.61922168510155,12.380833564267544
44,45.0,71.10169133867022,48.64352112676056,25.97579426315327,49.30555555555556,8.9448655098889,11.594057025492695
49,50.0,47.55789883260472,34.73796992481203,22.040642900964055,46.18055555555556,10.55593998292006,10.700744322766734
54,55.0,60.60182464057381,42.973284671532845,26.702555363364773,47.56944444444444,11.026780329611178,11.843889736609782
72,73.0,58.64707317399552,59.973052631578945,24.64590005718616,32.98611111111111,8.957116183540537,13.047438020120612
76,77.0,50.139632457315074,55.351818181818174,26.231967856096993,30.555555555555557,10.71234062132876,10.661602672935977
83,84.0,48.829876919624624,57.1532530120482,25.486377892760895,28.819444444444443,9.887913900747405,12.383934704911448
84,85.0,69.40705872180459,67.4275,19.3415274668264,34.72222222222222,10.234483044994494,7.0587190617632185
85,86.0,49.08165796687319,56.76404761904761,26.95168084338056,29.166666666666668,9.313727647844596,12.327446646747344
89,90.0,46.58906677344544,53.88130952380952,26.49244172444742,29.166666666666668,9.668373971305797,11.815304651171717
94,95.0,70.22982483409318,50.16676470588236,26.545797465178623,47.22222222222222,9.886756879278819,12.209639021369123
95,96.0,78.6025225455208,52.66255172413793,26.278130222134575,50.34722222222222,9.588617231775586,11.974685224348164
96,97.0,78.31944900507372,51.758979591836734,26.781395962627986,51.041666666666664,9.731607069616375,11.678445494994106
98,99.0,52.86475569724103,53.49687500000001,24.825333386167745,33.33333333333333,9.544526832809588,11.618137077056469
101,102.0,78.19767591476501,50.30953642384106,26.477114704898558,52.43055555555556,9.985862597187953,11.62582163632847
102,103.0,70.92206831027741,45.932866666666655,25.432062292486016,52.083333333333336,11.99279561363344,10.194798075648896
110,111.0,82.88774126872534,52.62986928104576,26.50305985508577,53.125,11.617725514987072,13.026271998857103
111,112.0,85.3811559488162,54.21307189542484,25.842248816556033,53.125,9.094333237095967,11.998707570115666
112,113.0,86.06485575087059,54.647189542483666,26.162977870563147,53.125,9.431049590229343,12.15111301254003
121,122.0,73.23678638447151,45.607692307692304,21.281962624158858,54.166666666666664,7.790577926237486,11.688627639408557
122,123.0,69.22373000342778,46.70097222222223,17.095189232299166,50.0,5.665009416449907,9.222853064236405
123,124.0,66.90396807342208,41.66397435897436,20.16112719043968,54.166666666666664,5.276913703276185,9.241228719175522
124,125.0,78.73448628328559,48.41069620253164,26.254792452626468,54.861111111111114,10.518094248083644,12.115904189601254
126,127.0,81.47257943815563,50.736474358974355,26.544684189564236,54.166666666666664,11.520549899967907,11.528791989098039
128,129.0,73.10791072169343,46.118701298701296,26.054155879112937,53.47222222222222,10.029737175091146,12.7982363380813
129,130.0,64.38121668095759,40.092948717948715,26.02734290096762,54.166666666666664,12.091760117439387,14.027586049791507
135,136.0,72.3799485114964,44.22364779874214,26.34467593681078,55.208333333333336,11.246598961323702,12.844874314500895
137,138.0,82.5746104650744,51.09522292993631,26.209025031526227,54.513888888888886,11.54549156732579,11.77480257200757
145,146.0,83.90093867186013,50.9425,26.542357492317823,55.55555555555556,10.981275151192369,11.712070867271937
