,Day,Sum,Mean,Standard Deviation,Percentage Observed,Band Standard Deviation,SideBand Standard Deviation
10,11.0,3381.67,52.02569230769231,25.393048289714784,22.569444444444446,3.166872905564731,13.697755889616895
11,12.0,0.0,,,0.0,,
12,13.0,0.0,,,0.0,,
13,14.0,0.0,,,0.0,,
15,16.0,1591.2500000000002,34.59239130434783,24.734890529352555,15.972222222222221,1.734614190686951,16.532362555505088
16,17.0,0.0,,,0.0,,
17,18.0,0.0,,,0.0,,
18,19.0,0.0,,,0.0,,
19,20.0,0.0,,,0.0,,
20,21.0,0.0,,,0.0,,
21,22.0,0.0,,,0.0,,
22,23.0,0.0,,,0.0,,
23,24.0,0.0,,,0.0,,
24,25.0,0.0,,,0.0,,
25,26.0,0.0,,,0.0,,
26,27.0,0.0,,,0.0,,
27,28.0,0.0,,,0.0,,
28,29.0,0.0,,,0.0,,
29,30.0,0.0,,,0.0,,
30,31.0,0.0,,,0.0,,
32,33.0,990.8899999999999,33.029666666666664,19.56099460377434,10.416666666666668,,12.899142635292607
45,46.0,3331.0699999999997,66.6214,12.690039245014177,17.36111111111111,1.463631154513522,12.690039245014177
58,59.0,2778.89,40.86602941176471,30.81461361392684,23.61111111111111,4.1226950249476015,15.759455122041663
59,60.0,0.0,,,0.0,,
60,61.0,0.0,,,0.0,,
61,62.0,0.0,,,0.0,,
62,63.0,0.0,,,0.0,,
63,64.0,0.0,,,0.0,,
64,65.0,0.0,,,0.0,,
65,66.0,0.0,,,0.0,,
66,67.0,0.0,,,0.0,,
67,68.0,0.0,,,0.0,,
68,69.0,714.8699999999999,19.32081081081081,17.481909781624434,12.847222222222221,2.6799999999999997,16.90338399648261
69,70.0,3193.26,46.95970588235294,29.961430597401495,23.61111111111111,3.588620495569919,14.373971700841672
75,76.0,0.0,,,0.0,,
77,78.0,478.86,19.9525,18.102109511048706,8.333333333333332,,11.194609819015579
80,81.0,3760.7899999999995,50.82148648648648,27.04266707233132,25.694444444444443,3.161754396102814,14.328119829060254
81,82.0,3818.0899999999997,54.54414285714285,26.627462809923845,24.305555555555554,3.9934742333131794,14.688786876231557
82,83.0,2827.0599999999995,50.483214285714276,25.63456254378499,19.444444444444446,5.56465599125592,16.061847613369167
91,92.0,3169.1000000000004,52.81833333333334,29.285085917958686,20.833333333333336,1.6118247739877987,16.08949623459901
92,93.0,3041.6800000000003,46.79507692307693,25.479693581243925,22.569444444444446,3.136971921689061,14.323949272459744
97,98.0,0.0,,,0.0,,
177,178.0,230.66,6.407222222222222,6.469424931987177,12.5,,2.215
182,183.0,0.0,,,0.0,,
183,184.0,0.0,,,0.0,,
184,185.0,0.0,,,0.0,,
208,209.0,1611.2500000000002,23.017857142857146,11.345698227315324,24.305555555555554,,6.452054878997801
209,210.0,0.0,,,0.0,,
231,232.0,0.0,,,0.0,,
243,244.0,0.0,,,0.0,,
244,245.0,0.0,,,0.0,,
245,246.0,0.0,,,0.0,,
246,247.0,271.5200000000001,11.805217391304351,11.750371268719173,7.986111111111111,,7.838441729706232
275,276.0,0.0,,,0.0,,
276,277.0,0.0,,,0.0,,
280,281.0,143.91,6.25695652173913,4.75277441609462,7.986111111111111,,
284,285.0,0.0,,,0.0,,
